Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 1000

feature | (x,y)=val
    581 | (1035.189941,442.138641)=    0 
    582 | (1678.183960,304.737183)=    0 
    583 | (1350.286377,776.022827)=    0 
    584 | (155.061783,357.311646)=    0 
    585 | (892.515564,457.312775)=    0 
    586 | (809.660889,1023.971863)=    0 
    587 | (465.439545,436.832275)=    0 
    588 | (816.929626,96.422050)=    0 
    589 | (198.287033,798.066467)=    0 
    590 | (341.636261,796.876282)=    0 
    591 | (1539.916870,439.290314)=    0 
    592 | (1492.982422,586.284912)=    0 
    593 | (400.000488,471.752350)=    0 
    594 | (1855.944336,176.350586)=    0 
    595 | (1530.438110,635.574951)=    0 
    596 | (1333.986694,531.638123)=    0 
    597 | (1667.273682,74.399200)=    0 
    598 | (1740.137329,1034.402222)=    0 
    599 | (521.473267,913.215881)=    0 
    600 | (1408.364990,526.921021)=    0 
    601 | (1882.660034,86.629692)=    0 
    602 | (1443.145752,439.302155)=    0 
    603 | (355.467590,468.026672)=    0 
    604 | (1039.250244,178.446030)=    0 
    605 | (390.361694,1032.923584)=    0 
    606 | (404.738953,391.173859)=    0 
    607 | (1157.495361,171.611191)=    0 
    608 | (133.575562,361.347076)=    0 
    609 | (321.743683,470.897461)=    0 
    610 | (-1.000000,-1.000000)=   -4 
    611 | (1450.256104,493.014313)=    0 
    612 | (-1.000000,-1.000000)=   -4 
    613 | (522.513062,1014.515686)=    0 
    614 | (1402.011963,938.539917)=    0 
    615 | (1070.213257,1027.767578)=    0 
    616 | (1610.402222,92.275505)=    0 
    617 | (479.746765,1008.098450)=    0 
    618 | (535.138306,961.175476)=    0 
    619 | (-1.000000,-1.000000)=   -4 
    620 | (1536.563843,254.034058)=    0 
    621 | (1795.440796,76.108719)=    0 
    622 | (261.719421,546.204834)=    0 
    623 | (1743.416504,285.343018)=    0 
    624 | (509.184357,581.702698)=    0 
    625 | (1356.692871,74.614372)=    0 
    626 | (552.450195,932.923950)=    0 
    627 | (930.687683,968.872559)=    0 
    628 | (1101.448486,358.614960)=    0 
    629 | (1476.476196,495.916779)=    0 
    630 | (481.847809,582.509888)=    0 
